store_ID,day_of_week,nb_customers_on_day,promotion,sales
404,3,657,1,5882.174829485331
683,2,862,0,8062.242394179894
920,3,591,1,5783.027946856522
758,4,569,0,3930.128801948055
563,1,321,1,3556.917392616643
930,6,1367,0,7570.220499639248
49,2,546,1,9043.73366254116
787,4,968,0,7911.208424482923
782,4,472,0,4736.858812530063
933,1,965,0,7370.534779822028
218,2,804,0,5831.603817460316
554,3,499,1,4195.153156084657
362,1,1337,1,12148.254908008648
655,3,560,0,5885.656017195767
785,3,461,0,4877.230248196245
690,3,866,1,6301.838439153443
431,1,1367,1,13798.758774521775
127,2,642,1,6843.476304232802
248,6,1139,0,8069.007296296296
224,2,515,1,7169.346970418468
208,3,355,1,2709.0090088985107
401,1,1063,1,12064.8489009139
221,4,562,1,5845.570380952377
799,2,927,1,10686.129381673883
260,6,894,0,6452.844453944206
1041,2,594,0,5032.881165704665
350,2,533,1,7799.042288239535
620,2,709,1,7898.160162698409
521,1,484,1,6401.000039691788
649,4,435,1,4071.493405964408
1059,2,1239,1,9819.253679172672
486,6,373,0,3074.6700555555567
252,4,642,0,7876.159124098125
656,3,421,1,3740.16786940837
642,5,394,0,2756.6361904761907
655,5,761,1,8980.580728234729
992,3,627,0,4857.405197089948
143,2,731,1,8670.755011664258
421,5,941,1,9135.561062382065
246,4,1157,1,9795.038636243386
960,1,720,1,10108.385808561805
313,5,697,0,6362.637418599918
291,6,534,0,5084.234124939874
924,6,333,0,3231.9738903318917
337,2,430,1,5809.056520442519
1024,4,607,0,4375.245962962961
56,3,402,1,6007.025232683983
507,3,532,0,5971.142400793651
970,5,406,0,3230.693708994708
846,2,828,0,7531.169307960556
549,3,582,0,4524.198176018426
1095,4,852,1,6643.850867604617
859,5,709,1,7086.986334656082
914,2,1178,1,10891.018764550265
888,2,634,0,6148.201041107041
442,2,517,1,5918.00477910053
34,6,905,0,7380.992230158729
199,4,581,0,6919.1735489418
854,4,657,1,6765.041663660415
611,2,485,1,6099.047294612797
808,4,528,0,5872.293358465608
1105,4,410,0,3434.6550540940543
866,5,445,0,5802.927835978835
222,6,367,0,3135.769890267138
476,2,753,1,7539.698153439152
800,1,494,0,4606.068050144302
330,1,408,0,3543.245604377105
507,3,648,1,8236.263737253492
1026,2,1044,0,7546.673649951901
990,5,719,0,6720.425923641175
8,6,345,0,2753.0947478354974
611,3,566,1,6534.9801453823975
257,2,777,1,7362.200694481443
840,4,1189,1,8311.009689634442
848,5,998,1,9963.662624283124
124,6,297,0,2575.754966931218
1028,2,438,0,3787.910964045217
95,2,1099,1,10580.27933814335
208,1,323,0,2148.0212870370356
249,2,449,0,3756.451425500423
887,3,614,1,7322.947585978834
73,1,601,1,5766.266645502644
13,4,501,1,5716.210410774408
1049,2,580,0,3319.5727380952376
144,4,769,1,8485.321434343432
847,3,1018,1,7484.276763828761
796,3,717,0,7203.442206349206
396,4,1139,0,9549.495910894651
675,5,338,0,2807.566534391535
1099,1,1236,1,12068.858230158728
791,1,858,0,7531.342638888886
1014,2,1476,0,12020.906658489654
487,2,737,1,8300.696760702262
427,3,701,0,5984.829031024531
254,5,282,1,3317.3968140933134
43,5,710,0,6695.816696821697
1074,2,421,0,3652.689648860399
549,6,380,0,3441.840366161617
1095,2,720,1,5753.839473304474
295,1,612,0,4338.891265632514
319,1,863,0,7587.938349206348
1002,4,642,0,5253.982948051948
448,6,544,0,6011.856194444444
527,2,1046,0,9724.583173687422
255,5,652,1,5371.655763227511
581,5,651,1,5968.886062289564
185,6,550,0,6893.559871693118
244,6,538,0,4841.598445258444
1082,6,877,0,5799.844721380473
216,5,837,1,7055.587609908605
350,4,508,1,6771.500295695042
748,1,822,1,10365.774920634916
718,1,962,0,8862.853420736676
739,5,789,1,10166.714874338624
673,2,615,1,7517.326689153441
83,1,367,0,3515.015336099086
976,3,598,0,5519.098991887741
637,6,518,0,6061.531625661377
122,2,714,1,6164.369032708031
898,1,1013,1,10689.581352453106
1080,4,710,0,8122.662654160654
291,1,1290,1,12719.606126984125
24,4,711,0,7282.398015873015
637,5,860,0,8100.100412698414
1002,2,850,1,8516.643994348242
666,1,497,0,4644.583269600769
334,6,515,0,4743.312786075035
300,6,951,0,7699.85137319162
207,1,1166,0,9234.541416546415
683,3,854,0,8221.347816137568
1094,2,394,1,5091.397832010581
700,4,576,0,4534.239682539684
959,2,744,0,6300.697892135642
1011,6,977,0,7374.467003848002
570,5,676,0,4560.381773088026
685,2,689,1,7999.815386243388
158,3,681,1,9134.407797619046
66,5,522,0,5525.656969817222
76,2,1080,1,10936.280021043774
572,3,458,0,5199.194132275135
184,6,510,0,5013.1739268879255
1034,5,775,1,6962.647568662817
862,2,1561,0,12291.642227513226
171,2,962,1,9904.471226070227
936,4,963,1,7760.048091029334
948,2,1682,1,6318.7729425204425
371,6,551,0,6599.622068783069
242,1,378,1,4936.892534363784
133,5,622,0,5760.141300745549
1031,1,681,1,8739.920814333813
850,4,710,1,6915.791091029339
860,5,833,1,6776.874417989415
836,6,301,0,2429.1516984126997
965,6,908,0,7668.99080242905
1096,1,763,1,7209.217095700594
504,3,836,1,6476.27927946128
230,1,1327,0,10703.079330808085
826,1,1170,1,11132.325505291006
975,2,767,1,8034.024931337183
602,2,547,0,5005.3233726551225
953,5,553,1,5262.443525613277
187,6,491,0,4388.070882275133
792,5,599,0,5701.589599807601
1035,4,744,1,6407.484486531987
523,3,1515,1,12983.629949374696
723,4,461,0,5043.388256613756
997,3,378,1,4961.612991943241
400,6,805,0,5543.2410052910045
1047,2,491,0,4100.394206228958
819,1,472,0,4690.533306277054
668,1,1562,1,13318.620054954308
585,4,666,0,3922.5682576960057
99,1,404,0,4004.5822008177
965,6,847,0,7282.242965608466
590,4,376,1,4737.786400793652
709,2,1682,1,13708.92817628668
850,6,826,0,7491.980675925927
1058,3,737,1,7913.174439754693
155,3,632,1,7357.062192640694
598,1,871,1,7483.933286223036
493,2,902,1,9849.379640692645
524,1,1193,0,11114.343735088987
966,4,585,0,4251.800742470492
1022,5,791,0,6838.745177248675
380,3,1720,1,13827.42095947571
132,3,579,1,6225.462347883598
400,5,999,0,6770.547362433862
988,4,790,1,5464.585225589227
906,2,1476,1,13292.38118229918
1028,2,689,1,6325.659097883599
1100,6,484,0,3809.5585462962968
759,1,607,0,5024.707230759981
223,1,716,0,6250.6520428090425
780,6,341,0,2836.9433275613283
259,5,2677,1,13356.56778355903
131,6,582,0,5434.188298100048
1079,6,517,0,6071.082392015388
1003,3,1029,1,10525.883972222224
980,4,450,0,5165.142472222223
654,2,766,1,7920.626314814811
966,4,517,0,3927.855301587302
1020,1,929,0,7166.852158730159
969,3,610,1,4242.779227392978
1038,2,490,0,5110.603378306878
516,3,453,0,3961.5746044973534
733,1,3171,0,13261.767676952675
260,3,962,1,7401.494828837829
768,6,1251,0,11106.862130351134
940,1,627,0,5581.953732202982
364,4,563,0,4056.3189835349817
506,3,763,0,5948.720994588744
671,3,507,1,6021.950280182782
300,6,862,0,6674.757052910057
84,2,1563,1,15035.21688179413
219,4,455,1,3443.755984367486
934,5,764,1,6947.150169312173
176,3,757,1,6749.380082130834
223,2,675,0,5855.82087181337
326,1,429,1,5456.519043410294
339,2,745,1,5735.747643819144
872,3,659,0,6231.133353294854
974,5,1599,0,11554.836305574056
880,3,806,1,7832.315609187108
1084,6,614,0,5458.511042328041
92,5,453,0,4355.332401034151
14,6,402,0,3422.0364431216944
587,1,960,0,7016.209748640248
230,4,856,1,7084.088460076958
689,6,589,0,5484.94283068783
599,1,1096,1,12477.453139009136
576,1,749,0,4635.67897883598
141,4,493,0,3804.175253367
877,5,925,0,7175.62630723906
375,2,948,1,11384.497896945642
230,1,988,0,8111.199430555557
545,3,1087,1,12223.90415115441
1022,1,1093,1,10834.224189153434
597,3,756,1,5223.850583333333
1024,6,825,0,6360.518172799425
36,2,1205,1,10610.780136243391
702,2,351,1,4546.523460317459
105,4,483,0,3926.8636659451654
902,2,648,1,5122.115125060126
11,6,786,0,5427.047623015875
1039,5,629,0,5550.808719937469
102,1,1174,1,10131.054538540166
543,5,175,0,1624.081803992303
827,4,1910,0,14102.332401875898
110,3,647,1,5620.322568783071
945,1,698,1,6125.338408249157
582,3,749,0,5903.8802017797025
554,4,428,0,3782.191875180375
486,2,384,0,3468.799800264551
637,6,520,0,6105.104437590189
806,5,578,0,6589.071682539681
887,6,462,0,4728.04951094276
374,6,668,0,6867.483047378548
1025,5,804,0,6621.376246179746
638,2,431,0,4654.734869047618
123,6,490,0,4181.0633809523815
905,4,1108,1,7445.546595959599
536,5,989,0,8627.422013227506
191,6,694,0,7173.717707551708
957,4,948,1,9245.579454785957
268,4,618,1,5357.973165908164
654,6,266,0,2567.4383187830695
612,6,388,0,4480.374398148148
747,3,567,0,5985.25350396825
656,6,380,0,3226.4884448051967
368,5,592,0,7039.422917989414
959,3,552,0,4446.347201058199
329,2,708,1,8468.25205964406
97,3,535,0,4884.313182539686
314,2,661,1,6559.745108345357
283,3,621,0,5946.326429653679
556,1,754,0,5691.717093314095
388,5,1211,1,11475.198666666667
67,3,837,1,8356.540929894176
725,5,677,1,6510.061176887928
219,4,416,1,3250.9439576719587
1077,2,479,0,3689.6986352813856
322,4,589,0,4916.0814957912435
814,3,581,1,6325.816335978837
54,4,657,0,5928.7000258537755
662,5,854,1,9464.094131313132
